NumTrials=630, DotSize = 2, Nx = 192, StimulusDuration = 5.000000e-01 
Disparity, MouseButton, ReactionTime, AlternationRate
-1,3,0.52818,0.0002
5,3,0.48306,60
-3,3,0.43868,0.0002
-1,3,0.46472,60
5,3,0.58059,15
-5,3,0.57805,60
-1,1,0.78682,30
-1,1,0.51316,0.0001
-3,1,0.22842,0.0001
-5,1,0.48728,0.0001
-1,3,0.36601,60
1,3,0.49683,60
-5,1,0.5941,60
-1,3,0.44165,120
-3,1,0.42403,0.0001
-5,3,0.35713,30
1,1,0.45339,7.5
-3,3,0.51185,60
-1,1,0.38058,120
3,1,0.56254,7.5
1,1,0.35254,30
5,3,0.24613,15
1,1,0.41328,30
1,1,0.41458,0.0001
-5,1,0.68783,60
3,1,0.34182,60
3,3,0.40674,60
-5,1,0.49918,0.0002
-1,1,0.24241,0.0001
1,1,0.63514,120
-1,1,0.31537,30
5,3,0.3912,7.5
3,3,0.37878,7.5
-1,1,0.22721,7.5
-3,1,0.50384,60
-1,1,0.40626,60
5,1,0.37077,7.5
-1,1,0.23726,0.0001
-5,1,0.26616,15
3,3,0.39956,15
-5,1,0.55822,30
-5,3,0.34318,60
-1,1,0.50443,0.0001
5,3,0.51608,60
-1,3,0.40683,30
3,1,0.50812,7.5
1,1,0.45726,60
5,1,0.44253,30
-1,3,0.39798,60
3,3,0.68108,120
1,1,0.47295,7.5
-3,1,0.47393,0.0001
1,3,0.49169,120
3,1,0.48044,15
-5,1,0.41341,0.0001
1,1,0.54633,30
1,1,0.45612,0.0001
5,3,0.67111,60
-1,1,0.22973,0.0001
-5,3,0.51405,15
-1,1,0.51452,15
5,1,0.64047,60
-5,1,0.63991,30
-3,1,0.37477,60
5,1,0.457,7.5
-5,3,0.44699,15
1,1,0.34575,120
-3,3,0.48275,30
1,3,0.55656,7.5
-5,3,0.63303,60
-5,1,0.28838,0.0001
5,3,0.5211,120
1,3,0.40969,7.5
-1,1,0.61729,0.0002
-1,1,0.5109,7.5
1,3,0.36938,60
3,1,0.42857,0.0001
3,3,0.36128,0.0002
3,3,0.48146,120
3,1,0.44692,60
5,3,0.41422,120
-3,1,0.46458,15
3,3,0.30015,60
3,1,0.2344,15
-1,1,0.4463,0.0001
3,1,0.45674,7.5
-1,3,0.33689,120
1,1,0.52969,15
-3,1,0.44828,60
5,1,0.49514,15
-1,1,0.42231,15
3,3,0.25428,60
-3,1,0.41558,30
5,3,0.32723,60
-3,1,0.29439,120
-3,1,0.4228,0.0001
3,3,0.63248,60
-3,1,0.45749,7.5
1,1,0.54202,7.5
5,1,0.52742,0.0002
1,3,0.97447,15
-3,3,0.35751,120
-5,1,0.24004,0.0001
3,3,0.33162,0.0001
-1,3,0.35376,30
-3,3,0.39889,30
-1,3,0.57815,0.0002
3,3,0.42701,120
3,1,0.36191,60
1,3,0.31662,0.0001
3,3,0.35988,60
3,1,0.38215,0.0001
-3,1,0.38333,0.0001
-1,3,0.42294,120
3,3,0.33734,120
5,3,0.32387,30
-3,3,0.31534,0.0002
3,1,0.46969,7.5
-5,1,0.52587,7.5
5,1,0.56815,0.0001
3,3,0.33724,7.5
1,3,0.46709,60
-1,1,0.27003,0.0001
-5,1,0.46663,15
-1,1,0.51646,30
1,1,0.37116,60
-5,1,0.33438,15
3,3,0.52204,120
1,1,0.35674,0.0002
3,1,0.33531,120
1,1,0.3944,0.0002
3,3,0.46135,0.0002
-1,3,0.37762,30
-1,3,0.3278,30
3,3,0.30602,0.0002
3,1,0.22211,7.5
-1,3,0.53757,120
-3,1,0.37259,60
-5,1,0.48525,0.0001
-5,1,0.45376,0.0002
-5,3,0.44428,60
-1,1,0.4842,0.0001
-5,1,0.43131,30
5,1,0.26707,0.0002
3,3,0.35881,120
1,1,0.46429,120
3,1,0.46146,0.0002
-5,1,0.45676,0.0002
5,1,0.50591,7.5
-5,1,0.39899,7.5
1,1,0.45005,0.0002
5,1,0.40701,60
3,1,0.37196,120
-3,1,0.34011,0.0001
-3,1,0.64739,15
-5,1,0.46462,120
-3,1,0.42973,15
-5,1,0.41322,7.5
-3,1,0.41018,0.0002
5,1,0.34768,0.0001
-5,1,0.35636,60
-3,1,0.3793,7.5
5,1,0.29982,0.0002
-5,3,0.85395,0.0002
-5,1,0.42382,7.5
-5,1,0.41577,30
-3,1,0.49162,0.0001
5,1,0.46431,120
-3,1,0.48202,60
-5,3,0.43182,120
3,1,0.34695,0.0001
5,3,0.42945,30
3,1,0.51028,15
1,1,0.43004,0.0001
1,1,0.60054,0.0001
-3,1,0.44586,120
3,1,0.37879,30
5,3,0.33781,7.5
1,1,0.44185,7.5
-5,1,0.35627,30
-5,1,0.53409,0.0001
5,1,0.44957,120
5,1,0.30825,0.0002
1,1,0.43007,15
-5,1,0.28944,0.0001
1,3,0.37571,30
-3,1,0.38807,15
5,1,0.35526,0.0001
-3,1,0.49772,30
-3,1,0.32028,60
5,1,0.34461,0.0001
-3,3,0.33928,0.0002
-1,1,0.36575,60
3,1,0.48508,120
-1,1,0.3619,15
1,1,0.50035,15
1,1,0.45641,60
3,1,0.22243,7.5
5,1,0.24968,7.5
5,1,0.33614,120
1,1,0.33038,60
3,1,0.3963,30
1,1,0.32926,7.5
1,3,0.22803,0.0002
1,3,0.40134,60
-1,1,0.48827,15
-1,1,0.48116,120
5,1,0.40331,0.0002
-3,1,0.37906,7.5
-1,3,0.33304,60
5,1,0.31057,30
-5,1,0.28383,0.0001
1,3,0.25932,7.5
-3,1,0.41164,7.5
-1,1,0.25192,0.0001
3,3,0.4689,15
-3,1,0.38382,120
5,1,0.40337,0.0001
-1,3,0.33846,7.5
3,1,0.30479,0.0002
1,1,0.42656,15
-5,3,0.4026,120
3,3,0.26195,60
1,1,0.4333,15
1,3,0.3886,30
5,3,0.3053,120
-5,1,0.39243,30
-1,3,0.32252,15
3,1,0.37178,15
-1,3,0.56425,120
1,3,0.30477,120
-1,1,0.52945,60
-1,3,0.30532,60
