NumTrials=630, DotSize = 2, Nx = 192, StimulusDuration = 5.000000e-01 
Disparity, MouseButton, ReactionTime, AlternationRate
3,3,0.41422,30
-1,1,0.97268,7.5
3,3,0.39948,0.0001
-3,1,0.40238,30
-3,1,0.32692,60
5,1,0.2843,120
1,3,0.32888,0.0001
1,3,0.40234,15
-3,1,0.89497,60
-5,1,1.3465,30
-3,1,0.61076,0.0002
3,1,0.40792,120
-5,1,0.42745,60
3,3,0.65588,15
5,3,0.8487,30
1,3,0.92885,60
-3,3,1.7543,30
1,3,2.5715,15
3,3,1.3011,120
5,3,1.0667,60
-5,3,1.9596,30
3,3,1.4725,15
1,3,0.4479,30
-3,3,2.8126,0.0002
-1,3,0.88924,0.0002
-1,3,2.2469,60
-3,1,0.95745,15
3,3,1.5617,0.0001
1,1,0.56589,60
1,1,0.78245,0.0002
1,1,0.55381,60
-1,1,0.69925,15
1,1,0.48044,60
-5,1,0.71342,0.0002
-1,1,0.64718,30
-3,1,0.4921,7.5
-3,1,0.31003,30
1,3,1.3576,0.0002
-5,3,0.5707,60
-5,1,0.48934,0.0001
5,1,0.7413,0.0002
1,3,0.9022,15
-3,1,0.63631,60
5,3,0.65064,30
-3,1,1.2668,0.0002
3,1,0.8436,0.0002
-5,1,0.77478,120
-3,1,0.71966,60
3,3,0.53976,15
-3,1,0.40665,60
5,1,0.4084,120
1,3,0.74572,7.5
3,3,0.44906,120
-1,3,0.54782,0.0002
5,3,0.23178,0.0001
-3,1,0.41932,0.0001
-1,3,0.394,30
3,3,0.65061,7.5
-3,3,0.73908,30
5,3,0.60482,0.0002
5,3,1.0841,30
-1,3,0.98679,15
5,3,1.1138,30
-5,3,0.47426,60
-3,3,0.52098,120
1,3,0.39031,15
-1,3,0.44968,120
1,3,0.46368,60
-3,3,0.66881,120
1,3,1.0604,0.0002
-1,3,0.76148,30
5,3,4.4055,0.0002
5,3,1.7403,60
-3,1,0.51353,15
1,3,0.6186,7.5
3,3,1.1718,30
1,3,1.4373,7.5
-3,1,0.47993,0.0001
-1,3,0.70136,60
-3,1,0.50637,30
-5,3,0.494,60
1,3,0.4316,120
5,3,0.32337,30
-1,1,0.51477,7.5
-3,3,0.46429,0.0002
-5,1,0.55394,30
-1,1,0.40494,7.5
5,3,0.47439,0.0002
3,1,0.38794,60
1,1,0.643,60
-1,1,1.4746,60
5,3,0.59996,0.0001
5,3,0.6828,0.0001
3,3,0.97264,30
3,3,0.59384,7.5
1,3,1.2039,15
-1,1,0.60149,0.0001
-1,1,0.40682,7.5
-3,1,1.6052,120
-5,3,0.71441,120
1,3,0.46911,7.5
1,3,0.42696,120
-1,1,0.41556,0.0001
-1,3,0.30117,0.0002
-1,3,0.41994,0.0002
5,3,0.55881,15
-5,3,0.54911,30
-5,1,0.50341,7.5
3,1,4.8112,30
5,3,0.64886,30
-1,3,0.50189,0.0002
-5,1,0.68414,30
5,3,1.1181,7.5
5,3,0.48236,0.0001
