NumTrials=630, DotSize = 2, Nx = 192, StimulusDuration = 5.000000e-01 
Disparity, MouseButton, ReactionTime, AlternationRate
3,1,0.78805,7.5
-5,1,0.59562,0.0002
-1,1,0.81546,15
5,1,4.276,30
-5,1,1.2466,30
-3,1,1.5032,30
-5,1,0.44,0.0001
-3,1,1.0907,60
-5,1,1.2935,120
1,3,0.603,0.0001
-1,1,0.45287,0.0001
-1,1,0.74062,60
-3,1,0.57163,15
-3,3,0.85923,60
-1,3,1.3313,60
3,3,0.79194,30
-1,1,0.51372,7.5
-1,1,0.44778,15
5,3,0.45159,0.0001
-1,1,0.47315,0.0002
5,1,0.62308,15
5,3,0.24552,0.0001
5,3,0.389,7.5
5,3,0.74797,60
-1,1,0.59168,0.0002
-1,1,0.59693,60
5,1,0.53824,15
-3,1,0.59068,15
5,3,0.69826,7.5
-5,1,0.44011,7.5
-3,1,0.24142,0.0001
3,1,0.48242,120
1,1,0.40134,0.0002
3,3,0.28072,0.0001
-3,1,0.26176,7.5
5,1,0.46437,60
3,1,0.42525,0.0002
-3,1,0.40659,30
-3,1,0.27559,0.0001
-3,1,0.25672,30
5,1,0.51884,15
-3,1,0.46998,30
-3,3,0.69852,120
-1,3,0.49339,120
1,1,0.60724,60
3,1,0.50674,7.5
-5,1,0.52896,0.0002
5,3,0.46328,7.5
-5,3,1.022,30
5,1,0.51606,15
-1,1,0.74081,7.5
-5,1,0.34475,0.0001
-1,1,0.38114,60
3,1,0.39781,30
-1,1,0.39593,120
-1,1,0.6693,0.0001
-5,1,0.50858,7.5
-5,1,0.48289,15
-3,1,0.50175,15
5,1,0.49442,60
1,1,0.36631,30
5,3,0.68201,7.5
-3,1,0.30204,0.0001
5,1,0.60905,60
1,1,0.54709,15
5,1,0.55081,60
-3,1,0.39882,30
-5,1,0.43715,60
1,1,0.3598,15
3,1,0.42404,120
1,1,0.37954,120
1,1,0.48665,7.5
-3,3,0.52307,0.0002
5,3,0.36901,0.0001
3,3,0.78872,15
-5,3,0.93864,0.0002
1,1,0.90597,60
5,3,0.37486,0.0001
-1,3,0.60555,0.0002
1,3,0.53069,0.0002
-3,3,0.58884,120
-3,3,0.45023,0.0001
3,3,0.4015,7.5
-3,3,0.95597,0.0002
-1,3,0.44544,120
-5,3,0.46616,30
-5,3,0.51031,15
5,3,0.75527,7.5
1,3,0.52579,0.0002
5,3,0.40416,30
-3,3,0.79682,15
-3,3,0.80907,0.0002
3,3,0.89953,15
-3,3,0.58472,120
-5,1,0.80355,120
3,3,0.68707,120
