NumTrials=630, DotSize = 2, Nx = 192, StimulusDuration = 5.000000e-01 
Disparity, MouseButton, ReactionTime, AlternationRate
1,1,1.2383,0.0002
-3,1,0.71085,30
3,3,0.84736,15
-3,3,0.4558,120
-3,3,0.40495,0.0002
3,1,0.56567,15
3,3,0.77529,0.0001
1,3,0.44866,15
-5,1,0.3344,15
1,3,0.40298,0.0002
3,1,0.35048,30
-1,3,0.47964,0.0002
-5,3,0.35839,0.0002
5,3,0.47591,30
5,3,0.90054,15
3,1,0.37049,0.0002
-3,1,0.43407,15
-5,1,0.30079,15
-3,1,0.43222,0.0001
5,3,0.32971,7.5
5,3,0.35861,60
-1,1,0.60732,120
-5,1,0.46958,30
1,3,0.33026,30
3,3,0.43612,0.0001
-3,3,0.45271,0.0002
1,3,0.55505,15
-5,1,0.56373,60
1,3,0.45361,120
-3,1,0.30643,0.0001
3,3,0.30267,7.5
-1,1,0.34764,0.0002
-5,1,0.28719,0.0001
-3,1,0.28999,0.0001
-1,3,0.44994,30
-3,1,0.35712,0.0002
-5,1,0.40579,15
1,1,0.35447,120
5,1,0.31065,0.0002
-1,1,0.24783,0.0002
3,1,0.2813,0.0002
-5,1,0.33535,120
3,1,0.3483,0.0002
5,1,0.33216,120
-3,1,0.32125,15
1,3,0.354,15
-1,3,0.31178,120
-3,1,0.32193,30
-1,3,0.30194,30
-3,3,0.37531,0.0002
1,3,0.35333,7.5
-5,1,0.39129,15
5,3,0.23887,0.0002
-3,3,0.2467,120
3,1,0.31729,120
3,3,0.37815,30
1,3,0.3107,60
1,3,0.40639,15
-3,1,0.41777,0.0002
1,1,0.57136,120
-1,1,0.26807,0.0001
-1,3,0.26553,30
-1,3,0.2892,120
-3,1,0.28552,120
-5,1,0.30793,120
1,3,0.24649,120
1,3,0.31996,0.0001
-5,1,0.33324,7.5
-1,1,0.29803,0.0002
5,3,0.3022,15
-3,1,0.30477,0.0001
-5,1,0.31309,7.5
1,3,0.30492,0.0001
1,3,0.33655,7.5
5,3,0.35454,7.5
3,3,0.31561,0.0001
5,3,0.25423,15
1,3,0.64023,30
5,1,0.24472,0.0002
-5,1,0.25423,7.5
-3,1,0.26672,15
-3,1,0.27848,120
1,1,0.34153,30
3,3,0.45336,120
-1,1,0.22061,7.5
5,3,0.2727,0.0001
-1,1,0.28619,30
-3,1,0.39612,30
5,3,0.29495,15
-5,1,0.27426,0.0001
5,1,0.52583,120
-3,1,0.29101,30
5,3,0.42689,0.0002
-5,1,0.26806,0.0001
3,3,0.26533,60
-3,1,0.23659,120
1,1,0.29382,0.0002
-1,3,0.26147,0.0002
-5,1,0.31233,0.0001
-3,3,0.32441,0.0002
-3,3,0.27816,60
-1,1,0.20483,7.5
-1,1,0.27657,7.5
3,3,0.27504,120
-3,3,0.24228,0.0002
3,3,0.52288,15
-5,1,0.26907,30
5,3,0.2044,0.0002
5,1,0.30033,120
-3,3,0.20643,30
3,3,0.39989,7.5
-1,1,0.3338,7.5
-1,1,0.28589,15
5,3,0.35626,15
-3,1,0.25999,30
3,3,0.26736,120
-1,1,0.25814,0.0001
-1,1,0.22692,0.0002
-5,1,0.24815,30
1,1,0.21042,60
3,1,0.44137,30
-5,1,0.38541,120
5,3,0.24834,0.0001
-1,1,0.24013,0.0001
1,3,0.24692,0.0001
-3,1,0.29253,0.0001
1,3,0.23631,15
-1,3,0.25432,30
3,1,0.30058,60
3,3,0.40135,0.0001
1,3,0.29702,0.0001
3,1,0.29712,120
3,3,0.26878,0.0002
5,3,0.38895,120
5,3,0.231,0.0001
5,1,0.26808,0.0002
-5,1,0.29948,60
-1,1,0.26893,15
1,3,0.27812,30
1,1,0.26103,60
3,3,0.24981,30
-1,1,0.24353,7.5
-3,1,0.26687,120
-5,1,0.4842,60
-3,3,0.80994,60
3,1,0.30622,60
1,3,0.28298,7.5
3,3,0.64606,15
1,3,0.30032,15
-1,1,0.28522,0.0001
-1,1,0.45488,7.5
5,1,0.26235,60
5,3,0.34635,7.5
-1,1,0.32663,120
-1,1,0.29762,15
-3,1,0.31763,7.5
-3,1,0.33684,60
1,3,0.2583,30
-5,1,0.22533,30
1,1,0.37321,120
1,3,0.2438,7.5
-5,1,0.40874,30
-5,1,0.42399,30
-3,1,0.28569,30
-5,3,0.25892,0.0002
-5,1,0.24337,120
-5,1,0.27085,0.0001
-5,1,0.22609,7.5
1,1,0.31915,0.0002
5,3,0.26877,7.5
-5,1,0.26114,0.0002
-1,1,0.29113,15
-1,1,0.33557,15
-5,1,0.22492,15
-3,1,0.25932,15
1,1,0.49503,0.0002
-5,1,0.26928,7.5
-5,1,0.43252,0.0002
1,3,0.24177,30
1,3,0.22384,120
1,3,0.66467,0.0002
-5,1,0.37589,0.0002
-3,1,0.3092,0.0001
5,3,0.32734,7.5
-3,3,0.42648,60
1,3,0.30258,7.5
-5,1,0.31255,120
5,3,0.35478,30
-1,1,0.22301,0.0001
5,3,0.23692,0.0002
5,3,0.35306,60
1,3,0.28228,30
-3,3,0.24428,120
5,3,0.26629,120
-1,1,0.39643,15
-1,3,0.2218,60
-3,3,0.26873,0.0002
3,3,0.29284,15
1,3,0.36802,7.5
3,3,0.2145,7.5
-5,3,0.22123,60
-5,3,0.45845,0.0002
3,3,0.43263,15
3,1,0.27928,0.0002
3,1,0.2708,0.0002
-1,1,0.22175,7.5
3,3,0.25643,60
-3,3,0.27567,60
-5,1,0.33402,7.5
3,3,0.31013,0.0002
-1,1,0.23749,7.5
5,3,0.23415,0.0001
-1,3,0.32814,60
3,3,0.21733,30
-5,1,0.21762,0.0002
3,3,0.28755,15
-1,1,0.3179,30
-1,1,0.22347,0.0001
5,1,0.30563,60
-1,3,0.32031,60
1,3,0.22999,0.0001
3,3,0.32087,60
-1,1,0.24396,0.0002
5,1,0.22179,120
1,3,0.23826,0.0001
-1,1,0.26688,0.0001
-5,1,0.22492,7.5
5,3,0.2785,7.5
3,3,0.25841,30
5,3,0.32839,120
5,3,0.21744,15
-3,1,0.28256,7.5
1,1,0.24073,60
1,3,0.21991,15
5,3,0.27698,60
-1,1,0.31098,60
3,3,0.26151,7.5
1,1,0.30364,60
-1,3,0.294,30
3,3,0.2243,7.5
5,3,0.37062,7.5
-3,1,0.41507,15
3,3,0.31778,30
3,3,0.26446,30
